ticket,last_date,price,mom_252,mom_90,mom_60,mom_20,mom_5,ma_20,ma_60,ma_200,ma_ratio_s_l,price_vs_ma_long,ann_vol_90,vol_90,ann_vol_30,vol_30,max_drawdown,downside_dev,avg_vol_20,avg_vol_60,vol_spike,mom_accel,volatility_change,rsi_14,atr_14,ann_return,sharpe_like,calmar,trend_r2,consec_up_10,skewness,kurtosis,avg_volume,history_days,score__mom_252,score__mom_90,score__mom_60,score__mom_20,score__mom_5,score__ma_ratio_s_l,score__price_vs_ma_long,score__ann_vol_90,score__vol_30,score__max_drawdown,score__downside_dev,score__avg_vol_60,score__vol_spike,score__mom_accel,score__volatility_change,score__rsi_14,score__atr_14,score__sharpe_like,score__calmar,score__trend_r2,score__consec_up_10,score__skewness,score__kurtosis,composite_score
noqjk,2026-02-27,30.59000015258789,0.1732116608591192,0.317239026355014,0.1591512262249961,0.06031194967455744,-0.0052032470703125,30.460499954223632,27.65716667175293,25.31408024787903,1.2033026542835779,1.2084183921295142,0.2926494206711379,0.018435180676737047,0.31234326037397603,0.019675775967538948,-0.23024524660235757,0.017340257560959037,166.19487434331958,138.16209948412137,0.7131076568685012,-0.09883927655043867,1.0672949858926044,49.4345741179662,85.85191860633309,1.163021567829559,3.9741119772674818,5.0512294390083206,0.45169370294541694,2,0.2018515704026279,0.5354272685389119,138.16209948412137,251,-0.03983023515259286,0.9880304520741248,0.4254757798017138,0.2959161139524385,-0.5601012076242367,0.7322922208704332,0.6087018226028611,0.2564246594220134,0.3893616786014951,-0.2590587068268854,0.35292679718732894,1.0996901395247107,-1.0477077143469777,-0.40928537643739865,-0.417078142748724,1.3493439680682608,0.2528977517853462,1.1392871350731724,0.798518829701813,-0.027111068637953078,0.47501969164202595,0.29483937228001966,-0.6691303540236909,0.37001446490565376
ddovi,2026-02-27,629.7100219726562,0.3276583100757797,0.3664222302673128,0.346879056758854,0.19263261737245507,-0.026482598744063335,599.8454986572266,524.8321924845378,498.2441635131836,1.203918766306132,1.2638583009808406,0.3301628377033401,0.02079830382662899,0.4334140336457151,0.0273025178036177,-0.17050385196287154,0.016126712470180868,108.20172361960117,81.26524033804323,0.9332296051296253,-0.15424643938639893,1.3127280930460767,62.864414080005695,487.71748944755325,1.3968329860940125,4.230739582354521,8.192383749771137,0.09899406119834893,1,1.718638206936734,9.214878022628882,81.26524033804323,251,0.28285622610254446,1.1972931200831052,1.4256170619704156,1.578720464037838,-1.0611708856975868,0.7356116458153892,0.8755336362051787,-0.04962936560782069,-0.37964567339339855,-0.7892542152213287,0.49818174657759867,-0.34013586662451667,-0.5857047891413404,-0.8553601614087234,0.8448947298303865,0.028962489114814347,-1.649831136290479,1.249356246725273,1.6447301450167384,-1.1634405229855078,-0.17473476395551363,1.5502249825460603,0.7622624109377649,0.36939054525157533
petdw,2026-02-27,529.7000122070312,0.7423212614024448,0.2247210736264582,0.060318419109227195,0.08485064436798573,-0.011698339158569548,519.4694976806641,491.35913645426433,431.3174626159668,1.2043785441211803,1.2280977658385084,0.29377045757662273,0.01850579936393796,0.3692416061317192,0.02326003484577598,-0.14173489278752438,0.01625729181713908,33.471649707416915,34.36453258770286,1.9734490790986114,0.024532225258758533,1.2569051630336467,62.928107122671456,353.46213995284444,0.7640225564394314,2.600746728387946,5.3905043522683025,0.8849648665006301,1,0.7105181744597241,2.216090905683151,34.36453258770287,251,1.1492144219965013,0.5943888816463596,-0.10106719546198577,0.5338105022275625,-0.713042601310319,0.73808878940704,0.7034184822461977,0.24727865555795336,0.027959458877955104,-1.044574216168722,0.4825520871788969,-1.5270003041213165,1.597559731393604,0.5839601413679215,0.5578632687507794,0.022124600296616205,-1.014166997838496,0.5502425821040293,0.8899178003347985,1.3688041141177387,-0.17473476395551363,0.715843038699,-0.39195961607020346,0.36901261754245523
vdluo,2026-02-27,781.6699829101562,0.12479717321712469,0.358585593915449,0.054730800253855794,0.055513156248552464,-0.006823027123281533,775.7251007080079,762.1441243489584,636.1387358093261,1.2194275510040649,1.2287728115069891,0.3476620574184182,0.021900651052909354,0.2593202819335355,0.016335642283602163,-0.350477804040938,0.015129200758897858,75.83203732503888,82.59946863659928,0.9310910582321843,0.0007823559946966707,0.7458975624583065,49.09479500501077,670.5998891729578,1.3585419998847859,3.907651038979366,3.876256881951074,0.8783343371054403,1,1.696954484398087,7.415413596827854,82.59946863659927,251,-0.14098296180553557,1.163950122865368,-0.13083586785535933,0.24939342638487716,-0.5982425327047374,0.8191682798490186,0.7066674713538124,-0.19239712851472016,0.7261486598314513,0.8079863847950445,0.6175786393998537,-0.3063720239233038,-0.590193278045387,0.39275349437845275,-2.0696458602624097,1.3128663293828642,-2.515731701869522,1.1107816419308547,0.48198707907766164,1.3474418416403693,-0.17473476395551363,1.5322782044057803,0.465499351514522,0.36220640878904414
vupgm,2026-02-27,186.759994506836,0.2303906568542382,0.2344197845184366,0.2551544435912334,0.06606528503989284,0.010004817522513587,181.3189826965332,163.98127873738608,152.40563636779785,1.1897131039023359,1.2254139607731172,0.21615306480903115,0.013616363204979132,0.1830907006224456,0.01153363002894214,-0.2063973087549965,0.01231236099046104,127.11292971625983,120.53278208831247,1.071468829758376,-0.18908915855134056,0.8470418864389562,67.4075312983123,65.95320726789764,0.8034165313655128,3.71688706831579,3.892572709459147,0.5429132828355268,1,0.13164259841926867,2.110942713549691,120.53278208831247,251,0.07963423992257296,0.6356545568374716,0.9369437951510518,0.35169276443762715,-0.20199349144573542,0.659075839960951,0.6905013511074387,0.8805218348836632,1.2103374271415244,-0.47070541523472015,0.9547395089168,0.653564465135982,-0.2955614087961935,-1.1358736846391577,-1.549579946746036,-0.45877257780359526,0.3471129711181876,1.0289618362281685,0.4863824816876992,0.2667806260881682,-0.17473476395551363,0.2367301227544033,-0.4093003863254744,0.3597903683570611
gapwy,2026-02-27,113.45999908447266,0.18352203801534062,0.32556760841557386,0.28057964125687973,0.09702533317006168,0.03258101493029786,108.3445945739746,99.29419631958008,92.74090232849122,1.1682503820056265,1.2234084016281224,0.2976352741781434,0.01874925992561647,0.27402454763968925,0.017261923956704506,-0.22092360493112484,0.016301448994165815,88.54175460422545,89.90145439465635,1.1301508205807331,-0.18355430808681805,0.9206722807828391,66.97838170823789,3.9117154643610257,1.2015333700540203,4.036932024847523,5.4386826180417,0.27581010346373086,2,0.15215778898382448,-0.3706788439380131,89.90145439465637,251,-0.01828869225981252,1.0234665596085644,1.0723994157715966,0.6518400136255554,0.32961330469519673,0.543441195866115,0.6808486118617668,0.21574746564043268,0.6327513176972029,-0.3417868147790801,0.47726670589147985,-0.12158873098284374,-0.1723967192639255,-1.0913134309744832,-1.170985708434173,-0.4127004000509438,0.640863287839274,1.1662310284580353,0.9028967850061367,-0.593773721420105,0.47501969164202595,0.25370975219355674,-0.8174253439507398,0.34766759121571306
kpbqt,2026-02-27,161.66000366210938,0.3115732094439263,0.13434113929519254,0.08063622648445379,0.08215106244782455,0.02517598553642153,155.1373207092285,154.35075988769532,140.22666923522948,1.1063324940556076,1.152847775267148,0.16575741635618313,0.010441735753405968,0.19064869290988365,0.01200973879093036,-0.10131081814602916,0.009226110720188082,94.23500794281175,86.5483242873533,1.2462926770032159,0.0015148359633707642,1.150166888159301,63.304522978137726,30.53148096487275,0.4232536699723779,2.553452384072404,4.177773684171626,0.9085979328531584,2,0.21368800524617956,-0.025078827498355327,86.54832428735328,251,0.24924951318160368,0.20984406373734052,0.007178224843187723,0.5076389638666684,0.15524541269356598,0.2098463717491377,0.34124091244608096,1.2916758238615964,1.1623311950980948,-1.403331539047766,1.3241473951344787,-0.2064426930987768,0.07136760242174046,0.3986505811051176,0.00903426634122795,-0.01828624618456326,0.5148256262759746,0.5299577555234489,0.5632142027889582,1.4449452444571522,0.47501969164202595,0.30463593141466516,-0.7615675822902918,0.34201770766945266
xeegw,2026-02-27,81.55999755859375,0.1791361189902314,0.20007094746295473,0.1540965002378316,0.09022858201155759,0.012413108618488655,78.7294994354248,73.28100001017252,70.03319026947021,1.1241741113230626,1.1645906354345228,0.17462662275343116,0.011000443240396956,0.16473818363436088,0.010377530126976418,-0.09818510462101604,0.008727087995724591,94.01659644342594,82.10601303415527,1.3659734269289983,-0.06386791822627402,0.9433738114697073,63.44315557626023,32.576297821479,0.6664004786653808,3.8161448017369217,6.787185095311708,0.4197617343776791,2,0.5665885477757032,1.143937464924064,82.10601303415527,251,-0.02745222346455039,0.4895085412575788,0.39854615452751996,0.5859477981140434,-0.14528491955556383,0.3059716010060448,0.39775919936718335,1.2193162114496432,1.3269074308679538,-1.4310717563876934,1.383877784336629,-0.3188593601302955,0.32255953032037765,-0.1277361985668019,-1.0542585226640175,-0.03316941478296369,0.5051439506456271,1.071534070569675,1.2661766312353318,-0.1299896432775102,0.47501969164202595,0.5967180557396582,-0.5687764126063106,0.33265366621649134
pbxwx,2026-02-27,98.6500015258789,0.3214175415819378,0.19748447977494776,0.19704868930362096,0.12025896276273151,-0.0015182340207045009,96.00949935913086,91.65041732788086,83.76030616760254,1.1462410269355,1.1777655316505726,0.250951770431172,0.01580847561029175,0.3298813160788814,0.02078056963122412,-0.19489826236914864,0.01743342314426116,129.15083990401098,121.27368300765627,0.6581318865033863,-0.07678972654088945,1.3145207710532427,60.281872232452926,34.91903017036551,0.656363689562897,2.6154973461042648,3.367724686635256,0.6284983548668903,2,-1.4424958400925054,6.913148606340508,121.27368300765627,251,0.2698173449678337,0.4785037451878374,0.6273788072143748,0.8770822348770075,-0.47332937684797943,0.42486145781894946,0.4611698637096948,0.5966158416668327,0.2779649028784445,-0.5727576485544669,0.3417753680477765,0.6723136268236638,-1.163093603508682,-0.23176774557901872,0.8541123575602021,0.30621622488904576,0.4940517226950587,0.5565692100901507,0.3449910402636111,0.5425190354609755,0.47501969164202595,-1.0661233549040547,0.382667097049775,0.3311253154449194
kjytu,2026-02-27,207.1199951171875,0.37164090451515874,0.17419680095805523,0.022907901170112765,0.10349795056662137,-0.008041955410099555,201.5709716796875,192.80031255086263,174.00336952209472,1.158431427116323,1.1903217488538196,0.20488110749373556,0.012906296637236098,0.23465390089045024,0.014781806331603076,-0.12986114222101042,0.013581266044001845,64.10151163449017,64.00771858310216,1.8265509652537297,0.0805900493965086,1.145317411720393,69.47184121123269,70.0629851191587,0.5677416629160297,2.7710786507408396,4.37191336227269,0.838769165052144,0,-0.28120109390763576,0.4844249159966374,64.00771858310216,251,0.3747493673810806,0.3794202895909047,-0.3003759674848583,0.7145898613795139,-0.6269449111246505,0.49053964127895233,0.5216028311828519,0.9724843426805218,0.8828225445076946,-1.1499518903283528,0.8028582638491463,-0.7768529191538204,1.289242642436091,1.0352733032101997,-0.015900868869713952,-0.6803905297819162,0.3276542426065624,0.6232989603257676,0.6155144644468523,1.2199705741681703,-0.8244892195530532,-0.10496462728675877,-0.6775415312390951,0.3299601597750666
