Date,Open,High,Low,Close,Adj Close,Volume,ticket
2025-02-28,100.0,100.0,100.0,100.0,79.75,100.0,ptynd
2025-03-03,98.52996311689478,98.93732969525168,100.59013050914244,100.51411117505876,80.16000366210938,53.01542088203516,ptynd
2025-03-04,99.1352724217028,97.5244590233048,101.0776189867498,99.04701926491477,78.98999786376953,56.811708083685296,ptynd
2025-03-05,97.34404697030558,96.30479694625204,98.81975855681408,97.59247878502156,77.83000183105469,52.666732148119046,ptynd
2025-03-06,95.34280817147298,93.55150767380204,95.9204612832926,94.9717841551969,75.73999786376953,52.3622433945585,ptynd
2025-03-07,92.78567441870986,94.78323895400732,95.70237510548532,97.71786872122355,77.93000030517578,59.876240055004416,ptynd
2025-03-10,95.65164079583964,96.88444115719888,98.88390615619244,97.35423120959052,77.63999938964844,78.77909832040075,ptynd
2025-03-11,95.93577095717944,93.9801947140207,96.10007260404214,95.15987384281937,75.88999938964844,62.23357234063451,ptynd
2025-03-12,93.62569953398015,91.9937236458354,94.2655628398849,92.80251051564947,74.01000213623047,57.69570769079658,ptynd
2025-03-13,91.53798797731784,90.56877455760382,92.7132770653638,90.65831103668692,72.30000305175781,45.99253511442884,ptynd
2025-03-14,90.22854066594674,90.47216565359064,93.18794385313508,92.99060020327194,74.16000366210938,56.12906394263825,ptynd
2025-03-17,90.82149402682946,91.37785339916668,93.89352829609922,94.23197683495788,75.1500015258789,41.87702583243296,ptynd
2025-03-18,92.5139002012954,91.77635821837188,95.20205515049238,94.42006652258031,75.30000305175781,34.716629014831554,ptynd
2025-03-19,92.9215615274171,92.94771584341804,96.11289429387824,95.68651731485107,76.30999755859375,43.20302524309989,ptynd
2025-03-20,96.33107633937584,96.92066719292076,95.72803806025648,94.03134528372355,74.98999786376953,94.0526470877124,ptynd
2025-03-21,92.0938923560721,90.44801803415343,93.09814308653506,92.7523526278409,73.97000122070312,94.308024751989,ptynd
2025-03-24,92.00741959824238,90.95520096052432,94.38101677370658,93.04074852444164,74.19999694824219,54.53786464983793,ptynd
2025-03-25,91.05620983729172,90.6170790096104,94.3168691743282,93.95611323533014,74.93000030517578,53.2216874570278,ptynd
2025-03-26,92.22977946477934,90.85738513619587,93.96536890937924,93.0909064122502,74.23999786376953,93.3307140752382,ptynd
2025-03-27,92.118594819099,91.59521882663024,95.14304601459791,94.6833882585962,75.51000213623047,42.206070130635496,ptynd
2025-03-28,92.76096253085925,91.06388828082216,95.62540581627086,93.73040752351098,74.75,94.94155780375208,ptynd
2025-03-31,92.1680091699765,91.98164522955072,95.01604277237428,95.34796353044182,76.04000091552734,62.341616737059226,ptynd
2025-04-01,93.4280421304701,92.39826306661683,96.06157817188542,95.7241333390478,76.33999633789062,82.6736077006188,ptynd
2025-04-02,94.04570737920344,93.88962962471597,97.30596721444972,96.07523855370788,76.62000274658203,67.28219231902564,ptynd
